Tahun,Komoditas,Kecamatan,Produksi (Ton),Jenis Komoditas,Kode,Luas Panen (Ha),No Kecamatan,Nomor,Rata-Rata Produksi (Ton/Ha)
2018,Padi Sawah,Ajibarang,17184.53,Tanaman Pangan,330214,2893,14,1,5.940038023
2018,Padi Sawah,Banyumas,6938.16,Tanaman Pangan,330211,1164,11,2,5.960618557
2018,Padi Sawah,Baturraden,11662.85,Tanaman Pangan,330222,2317,22,3,5.033599482
2018,Padi Sawah,Cilongok,28627.2,Tanaman Pangan,330217,4957,17,4,5.775105911
2018,Padi Sawah,Gumelar,11830.6,Tanaman Pangan,330215,2177,15,5,5.434359210
2018,Padi Sawah,Jatilawang,21975.66,Tanaman Pangan,330203,3298,3,6,6.663329290
2018,Padi Sawah,Kalibagor,12708.8,Tanaman Pangan,330210,1999,10,7,6.357578789
2018,Padi Sawah,Karanglewas,17713.7,Tanaman Pangan,330218,2970,18,8,5.964208754
2018,Padi Sawah,Kebasen,12315.96,Tanaman Pangan,330205,1989,5,9,6.192036199
2018,Padi Sawah,Kedungbanteng,17439.97,Tanaman Pangan,330223,3771,23,10,4.624760011
2018,Padi Sawah,Kembaran,19786.21,Tanaman Pangan,330220,3455,20,11,5.726833575
2018,Padi Sawah,Kemranjen,23626.6,Tanaman Pangan,330206,3764,6,12,6.276992561
2018,Padi Sawah,Lumbir,11821.18,Tanaman Pangan,330201,2089.4,1,13,5.657691203
2018,Padi Sawah,Patikraja,17676.3,Tanaman Pangan,330212,3074,12,14,5.750260247
2018,Padi Sawah,Pekuncen,22017.3,Tanaman Pangan,330216,4237,16,15,5.196436158
2018,Padi Sawah,Purwojati,13216.18,Tanaman Pangan,330213,2220,13,16,5.953234234
2018,Padi Sawah,Purwokerto Barat,2492.36,Tanaman Pangan,330225,440,25,17,5.664454545
2018,Padi Sawah,Purwokerto Selatan,2321.4,Tanaman Pangan,330224,438,24,18,5.3
2018,Padi Sawah,Purwokerto Timur,1238.03,Tanaman Pangan,330226,218.4,26,19,5.668635531
2018,Padi Sawah,Purwokerto Utara,3980.4,Tanaman Pangan,330227,682,27,20,5.836363636
2018,Padi Sawah,Rawalo,18031.6,Tanaman Pangan,330204,2770,4,21,6.509602888
2018,Padi Sawah,Sokaraja,19972.3,Tanaman Pangan,330219,3214,19,22,6.214156814
2018,Padi Sawah,Somagede,6896.6,Tanaman Pangan,330209,1106,9,23,6.235623870
2018,Padi Sawah,Sumbang,26511.9,Tanaman Pangan,330221,4972,21,24,5.332240547
